"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
2.142705475E2	6.498097384E1	2.556142317E1	1.307758741E1	6.989999771E0	2.053999939E2	3.790092468E0	2.500000000E0
2.152704698E2	6.498093776E1	2.556138157E1	1.304844530E1	4.719999790E0	2.050000000E2	3.790092468E0	2.500000000E0
2.162700436E2	6.498091785E1	2.556136237E1	1.299233786E1	2.509999990E0	2.038999939E2	3.790092468E0	2.500000000E0
2.172698283E2	6.498090937E1	2.556135693E1	1.280483062E1	1.100000024E0	2.031999969E2	3.790092468E0	2.500000000E0
2.182701528E2	6.498090694E1	2.556135521E1	1.279152291E1	5.299999714E-1	2.026999969E2	3.790092468E0	2.500000000E0
2.192698389E2	6.498090571E1	2.556134822E1	1.266487473E1	1.800000072E-1	2.023000031E2	3.790092468E0	2.500000000E0
2.202701973E2	6.498090602E1	2.556134704E1	1.263179412E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.212700267E2	6.498090596E1	2.556134563E1	1.276942853E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.222705045E2	6.498090828E1	2.556134208E1	1.274739748E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.232702786E2	6.498091026E1	2.556134013E1	1.276198700E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.242706824E2	6.498091174E1	2.556133679E1	1.284383697E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.252702905E2	6.498091250E1	2.556133543E1	1.285378659E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.262701582E2	6.498091280E1	2.556133599E1	1.292824969E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.272699607E2	6.498091319E1	2.556133729E1	1.293185096E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.282698558E2	6.498091343E1	2.556133831E1	1.291354050E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.292699418E2	6.498091364E1	2.556133891E1	1.294753720E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.302703164E2	6.498091364E1	2.556133921E1	1.299374078E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.312706955E2	6.498091342E1	2.556133896E1	1.315896277E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.322699084E2	6.498091330E1	2.556133944E1	1.318166767E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.332701189E2	6.498091313E1	2.556133957E1	1.326021974E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.342704021E2	6.498091301E1	2.556133953E1	1.326156241E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.352706096E2	6.498091251E1	2.556133921E1	1.336257517E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.362700279E2	6.498091261E1	2.556134001E1	1.350344430E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.372701470E2	6.498091277E1	2.556134192E1	1.366530943E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.382705997E2	6.498091350E1	2.556134468E1	1.391292938E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.392698932E2	6.498091348E1	2.556134458E1	1.396560271E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.402700295E2	6.498091313E1	2.556134349E1	1.400423778E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.412707754E2	6.498091281E1	2.556134268E1	1.405611747E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.422707173E2	6.498091267E1	2.556134198E1	1.404018726E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.432699595E2	6.498091244E1	2.556134148E1	1.406643222E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.442701480E2	6.498091247E1	2.556134137E1	1.404964760E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.452702751E2	6.498091235E1	2.556134080E1	1.404165196E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.462701280E2	6.498091225E1	2.556134035E1	1.405666657E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
2.472700024E2	6.498090632E1	2.556133455E1	1.391634195E1	8.000000119E-1	2.016999969E2	3.790092468E0	2.500000000E0
2.482701103E2	6.498088075E1	2.556130876E1	1.379168759E1	3.319999933E0	2.025000000E2	3.790092468E0	2.500000000E0
2.492704565E2	6.498083331E1	2.556126066E1	1.377712309E1	5.199999809E0	2.051000061E2	3.790092468E0	2.500000000E0
2.502704224E2	6.498078373E1	2.556120882E1	1.394987397E1	5.989999771E0	2.056000061E2	3.790092468E0	2.500000000E0
2.512703229E2	6.498072092E1	2.556113958E1	1.401867188E1	7.500000000E0	2.061999969E2	3.790092468E0	2.500000000E0
2.522705158E2	6.498064728E1	2.556105920E1	1.409887468E1	8.920000076E0	2.061999969E2	3.790092468E0	2.500000000E0
2.532698138E2	6.498056675E1	2.556097112E1	1.385222878E1	9.930000305E0	2.056999969E2	3.790092468E0	2.500000000E0
2.542698172E2	6.498047928E1	2.556087448E1	1.357066541E1	1.073999977E1	2.061000061E2	3.790092468E0	2.500000000E0
2.552702640E2	6.498038216E1	2.556076925E1	1.336477772E1	1.189000034E1	2.053000031E2	3.790092468E0	2.500000000E0
2.562704267E2	6.498027761E1	2.556066303E1	1.311707411E1	1.263000011E1	2.051000061E2	3.790092468E0	2.500000000E0
2.572734201E2	6.498016622E1	2.556054968E1	1.285905011E1	1.332999992E1	2.031999969E2	3.795326233E0	2.500000000E0
2.582804819E2	6.498005443E1	2.556043826E1	1.268739023E1	1.347999954E1	2.026000061E2	3.795230150E0	2.500000000E0
2.592740712E2	6.497994158E1	2.556032669E1	1.246116395E1	1.411999989E1	2.016999969E2	3.795056820E0	2.500000000E0
2.602720254E2	6.497982677E1	2.556021660E1	1.232258213E1	1.427000046E1	2.020000000E2	3.794093132E0	2.500000000E0
2.612741228E2	6.497970212E1	2.556010109E1	1.216604748E1	1.494999981E1	2.015000000E2	3.795246840E0	2.500000000E0
2.622678386E2	6.497957596E1	2.555998322E1	1.210729005E1	1.519999981E1	2.016000061E2	3.795162439E0	2.500000000E0
2.632678386E2	6.497945065E1	2.555986717E1	1.212574267E1	1.515999985E1	2.008999939E2	3.793999910E0	2.500000000E0
2.642678386E2	6.497932509E1	2.555975375E1	1.206533728E1	1.517000008E1	2.006999969E2	3.793854713E0	2.500000000E0
2.652678386E2	6.497919386E1	2.555964443E1	1.203654226E1	1.521000004E1	1.985000000E2	3.795313358E0	2.500000000E0
2.662678386E2	6.497906222E1	2.555954713E1	1.195708609E1	1.531000042E1	1.966000061E2	3.795125008E0	2.500000000E0
2.672678386E2	6.497893046E1	2.555946034E1	1.197784814E1	1.522000027E1	1.948999939E2	3.795268774E0	2.500000000E0
2.682678386E2	6.497880227E1	2.555937889E1	1.193483110E1	1.497999954E1	1.948000031E2	3.793785572E0	2.500000000E0
2.692678386E2	6.497867178E1	2.555929712E1	1.189034711E1	1.486999989E1	1.943999939E2	3.795033932E0	2.500000000E0
2.702678386E2	6.497854357E1	2.555921614E1	1.185764494E1	1.475000000E1	1.943999939E2	3.795463324E0	2.500000000E0
2.712678386E2	6.497841612E1	2.555913654E1	1.196959663E1	1.467000008E1	1.936999969E2	3.794883013E0	2.500000000E0
2.722678386E2	6.497829224E1	2.555905806E1	1.204193971E1	1.460000038E1	1.941999969E2	3.793893814E0	2.500000000E0
2.732678386E2	6.497816505E1	2.555898174E1	1.209444297E1	1.463000011E1	1.933000031E2	3.793908596E0	2.500000000E0
2.742678386E2	6.497803578E1	2.555890361E1	1.193295528E1	1.472000027E1	1.936999969E2	3.794971228E0	2.500000000E0
2.752678386E2	6.497790793E1	2.555882899E1	1.194425899E1	1.485999966E1	1.933000031E2	3.794940948E0	2.500000000E0
2.762678386E2	6.497778011E1	2.555875671E1	1.202093107E1	1.493000031E1	1.931999969E2	3.793844700E0	2.500000000E0
2.772678386E2	6.497764961E1	2.555868138E1	1.210596286E1	1.502000046E1	1.938000031E2	3.794003487E0	2.500000000E0
2.782678386E2	6.497751544E1	2.555860382E1	1.216370881E1	1.518000031E1	1.935000000E2	3.795148373E0	2.500000000E0
2.792678386E2	6.497738431E1	2.555852531E1	1.225948264E1	1.546000004E1	1.941000061E2	3.793973207E0	2.500000000E0
2.802678386E2	6.497724967E1	2.555844381E1	1.238125456E1	1.592000008E1	1.946000061E2	3.792933941E0	2.500000000E0
2.812678386E2	6.497710883E1	2.555835322E1	1.244607610E1	1.638999939E1	1.950000000E2	3.794255257E0	2.500000000E0
2.822678386E2	6.497696350E1	2.555825752E1	1.245870906E1	1.662999916E1	1.955000000E2	3.795573473E0	2.500000000E0
2.832678386E2	6.497682175E1	2.555816232E1	1.246615732E1	1.669000053E1	1.958000031E2	3.794522047E0	2.500000000E0
2.842678386E2	6.497667774E1	2.555806425E1	1.241940465E1	1.662999916E1	1.953000031E2	3.794349909E0	2.500000000E0
2.852678386E2	6.497653335E1	2.555796656E1	1.245504904E1	1.655999947E1	1.948999939E2	3.796065569E0	2.500000000E0
2.862678386E2	6.497638946E1	2.555787257E1	1.236447270E1	1.660000038E1	1.948000031E2	3.796145678E0	2.500000000E0
2.872678386E2	6.497624756E1	2.555777991E1	1.227774328E1	1.664999962E1	1.948999939E2	3.794433832E0	2.500000000E0
2.882678386E2	6.497610424E1	2.555768463E1	1.220602753E1	1.652000046E1	1.956000061E2	3.794279337E0	2.500000000E0
2.892678386E2	6.497596228E1	2.555758897E1	1.206326820E1	1.639999962E1	1.960000000E2	3.794397354E0	2.500000000E0
2.902678386E2	6.497582042E1	2.555749429E1	1.195737407E1	1.644000053E1	1.956000061E2	3.794166803E0	2.500000000E0
2.912678386E2	6.497567898E1	2.555739897E1	1.183048433E1	1.660000038E1	1.956999969E2	3.794281006E0	2.500000000E0
2.922678386E2	6.497553527E1	2.555729933E1	1.174436455E1	1.669000053E1	1.966999969E2	3.794452667E0	2.500000000E0
2.932678386E2	6.497539183E1	2.555719405E1	1.160355827E1	1.673999977E1	1.978999939E2	3.794911146E0	2.500000000E0
2.942678386E2	6.497524663E1	2.555708032E1	1.139793216E1	1.679000092E1	1.988999939E2	3.795575619E0	2.500000000E0
2.952678386E2	6.497510564E1	2.555696647E1	1.129594771E1	1.687000084E1	1.993999939E2	3.794665575E0	2.500000000E0
2.962678386E2	6.497496405E1	2.555684916E1	1.123247636E1	1.675000000E1	1.998999939E2	3.802959919E0	2.500000000E0
2.972678386E2	6.497482243E1	2.555673274E1	1.122161717E1	1.657999992E1	2.001000061E2	3.794788361E0	2.500000000E0
2.982678386E2	6.497467890E1	2.555661614E1	1.130047792E1	1.662000084E1	1.995000000E2	3.795879602E0	2.500000000E0
2.992678386E2	6.497453976E1	2.555650253E1	1.128003818E1	1.668000031E1	1.986999969E2	3.794984341E0	2.500000000E0
3.002678386E2	6.497439988E1	2.555638810E1	1.128486642E1	1.677000046E1	1.985000000E2	3.793702602E0	2.500000000E0
3.012678386E2	6.497425409E1	2.555627213E1	1.135164004E1	1.687000084E1	1.981000061E2	3.794726610E0	2.500000000E0
3.022678386E2	6.497410906E1	2.555615419E1	1.133259920E1	1.701000023E1	1.988000031E2	3.795720816E0	2.500000000E0
3.032678386E2	6.497396642E1	2.555603694E1	1.141640477E1	1.712000084E1	1.991999969E2	3.794711351E0	2.500000000E0
3.042678386E2	6.497382299E1	2.555591761E1	1.148678215E1	1.721999931E1	1.996999969E2	3.793310404E0	2.500000000E0
3.052678386E2	6.497367541E1	2.555579376E1	1.146188038E1	1.719000053E1	1.998000031E2	3.794468641E0	2.500000000E0
3.062678386E2	6.497352949E1	2.555566913E1	1.156021027E1	1.717000008E1	2.003000031E2	3.795408487E0	2.500000000E0
3.072678386E2	6.497338668E1	2.555554520E1	1.168606984E1	1.721999931E1	2.005000000E2	3.794066429E0	2.500000000E0
3.082678386E2	6.497324111E1	2.555541496E1	1.169181050E1	1.736000061E1	2.015000000E2	3.794032812E0	2.500000000E0
3.092678386E2	6.497309563E1	2.555527901E1	1.176108963E1	1.743000031E1	2.023000031E2	3.793993950E0	2.500000000E0
3.102678386E2	6.497295097E1	2.555513846E1	1.183683988E1	1.739999962E1	2.031000061E2	3.794200659E0	2.500000000E0
3.112678386E2	6.497280721E1	2.555499357E1	1.188598024E1	1.738999939E1	2.036999969E2	3.794181585E0	2.500000000E0
3.122678386E2	6.497266524E1	2.555484698E1	1.190118698E1	1.739999962E1	2.041000061E2	3.794538736E0	2.500000000E0
3.132678386E2	6.497252157E1	2.555469684E1	1.192359476E1	1.746999931E1	2.041000061E2	3.794569254E0	2.500000000E0
3.142678386E2	6.497237831E1	2.555454548E1	1.204115692E1	1.748999977E1	2.048000031E2	3.794415474E0	2.500000000E0
3.152678386E2	6.497223475E1	2.555439409E1	1.215365289E1	1.752000046E1	2.045000000E2	3.794532537E0	2.500000000E0
3.162678386E2	6.497209425E1	2.555424547E1	1.216336817E1	1.739999962E1	2.043999939E2	3.793455839E0	2.500000000E0
3.172678386E2	6.497195025E1	2.555409332E1	1.220549033E1	1.745999908E1	2.043999939E2	3.794718742E0	2.500000000E0
3.182678386E2	6.497180480E1	2.555393954E1	1.224895414E1	1.747999954E1	2.043000031E2	3.795930147E0	2.500000000E0
3.192678386E2	6.497166438E1	2.555379229E1	1.233142325E1	1.730999947E1	2.041000061E2	3.794443607E0	2.500000000E0
3.202678386E2	6.497152433E1	2.555364537E1	1.223908799E1	1.729000092E1	2.038999939E2	3.793354511E0	2.500000000E0
3.212678386E2	6.497137980E1	2.555349335E1	1.236128782E1	1.730999947E1	2.040000000E2	3.794513702E0	2.500000000E0
3.222678386E2	6.497123660E1	2.555334341E1	1.245272690E1	1.736000061E1	2.038999939E2	3.795787573E0	2.500000000E0
3.232678386E2	6.497109618E1	2.555319450E1	1.254874610E1	1.743000031E1	2.043000031E2	3.794426203E0	2.500000000E0
3.242678386E2	6.497095498E1	2.555304549E1	1.258922260E1	1.752000046E1	2.040000000E2	3.793241024E0	2.500000000E0
3.252678386E2	6.497080881E1	2.555289097E1	1.264416054E1	1.754000092E1	2.040000000E2	3.794981003E0	2.500000000E0
3.262678386E2	6.497066509E1	2.555273884E1	1.263263319E1	1.752000046E1	2.038000031E2	3.795727730E0	2.500000000E0
3.272678386E2	6.497052287E1	2.555258848E1	1.257594099E1	1.751000023E1	2.036999969E2	3.794932127E0	2.500000000E0
3.282678386E2	6.497038305E1	2.555244229E1	1.250747070E1	1.713999939E1	2.038000031E2	3.794648170E0	2.500000000E0
3.292678386E2	6.497024122E1	2.555229285E1	1.241165524E1	1.693000031E1	2.036999969E2	3.794770479E0	2.500000000E0
3.302678386E2	6.497010243E1	2.555214592E1	1.217564453E1	1.693000031E1	2.038999939E2	3.794937849E0	2.500000000E0
3.312678386E2	6.496996570E1	2.555200160E1	1.185943522E1	1.690999985E1	2.036999969E2	3.793311357E0	2.500000000E0
3.322678386E2	6.496982657E1	2.555185705E1	1.147651228E1	1.690999985E1	2.031999969E2	3.793779135E0	2.500000000E0
3.332678386E2	6.496968573E1	2.555171445E1	1.102455673E1	1.697999954E1	2.026999969E2	3.794667482E0	2.500000000E0
3.342678386E2	6.496954451E1	2.555157698E1	1.055056645E1	1.702000046E1	2.020000000E2	3.794354916E0	2.500000000E0
3.352678386E2	6.496940219E1	2.555144191E1	1.005478527E1	1.709000015E1	2.016999969E2	3.794351578E0	2.500000000E0
3.362678386E2	6.496926244E1	2.555131379E1	9.629684280E0	1.694000053E1	2.013999939E2	3.793248415E0	2.500000000E0
3.372678386E2	6.496911907E1	2.555118703E1	9.325551409E0	1.695000076E1	2.003999939E2	3.793839455E0	2.500000000E0
3.382678386E2	6.496897546E1	2.555106533E1	9.132867833E0	1.695999908E1	1.996000061E2	3.794171095E0	2.500000000E0
3.392678386E2	6.496883155E1	2.555094846E1	9.024900127E0	1.693000031E1	1.988999939E2	3.797318935E0	2.500000000E0
3.402678386E2	6.496868887E1	2.555083770E1	9.065248180E0	1.697999954E1	1.981999969E2	3.800098896E0	2.500000000E0
3.412678386E2	6.496854271E1	2.555072863E1	9.255189928E0	1.702000046E1	1.971999969E2	3.793540001E0	2.500000000E0
3.422678386E2	6.496839380E1	2.555062355E1	9.487242832E0	1.702000046E1	1.966999969E2	3.794413567E0	2.500000000E0
3.432678386E2	6.496824850E1	2.555052742E1	9.822874559E0	1.695999908E1	1.958999939E2	3.794823170E0	2.500000000E0
3.442678386E2	6.496810438E1	2.555043558E1	1.020977634E1	1.685000038E1	1.951999969E2	3.793333292E0	2.500000000E0
3.452678386E2	6.496795585E1	2.555034427E1	1.063799475E1	1.679000092E1	1.946000061E2	3.794637203E0	2.500000000E0
3.462678386E2	6.496780996E1	2.555025707E1	1.109844163E1	1.671999931E1	1.941999969E2	3.794661760E0	2.500000000E0
3.472678386E2	6.496766708E1	2.555017344E1	1.156682541E1	1.660000038E1	1.936000061E2	3.793460846E0	2.500000000E0
3.482678386E2	6.496752384E1	2.555009251E1	1.202953222E1	1.652000046E1	1.933000031E2	3.793717384E0	2.500000000E0
3.492678386E2	6.496737774E1	2.555000926E1	1.248582800E1	1.643000031E1	1.933999939E2	3.794720173E0	2.500000000E0
3.502678386E2	6.496723448E1	2.554992726E1	1.289964580E1	1.638999939E1	1.936000061E2	3.794593573E0	2.500000000E0
3.512678386E2	6.496709602E1	2.554984955E1	1.320329905E1	1.600000000E1	1.933999939E2	3.793673992E0	2.500000000E0
3.522678386E2	6.496695627E1	2.554976971E1	1.343291574E1	1.597000027E1	1.933999939E2	3.793406963E0	2.500000000E0
3.532678386E2	6.496681682E1	2.554969038E1	1.360790619E1	1.596000004E1	1.933000031E2	3.793574095E0	2.500000000E0
3.542678386E2	6.496667566E1	2.554961138E1	1.372820750E1	1.605999947E1	1.930000000E2	3.794376135E0	2.500000000E0
3.552678386E2	6.496653669E1	2.554953497E1	1.383770729E1	1.614999962E1	1.928999939E2	3.793560982E0	2.500000000E0
3.562678386E2	6.496639482E1	2.554945749E1	1.393701165E1	1.626000023E1	1.928999939E2	3.793507576E0	2.500000000E0
3.572678386E2	6.496625240E1	2.554937957E1	1.402069057E1	1.627000046E1	1.928999939E2	3.793372631E0	2.500000000E0
3.582678386E2	6.496610973E1	2.554930141E1	1.409228433E1	1.618000031E1	1.931000061E2	3.794532299E0	2.500000000E0
3.592678386E2	6.496596873E1	2.554922238E1	1.418182411E1	1.609000015E1	1.933000031E2	3.794584751E0	2.500000000E0
3.602678386E2	6.496583082E1	2.554914390E1	1.419336378E1	1.601000023E1	1.935000000E2	3.793707609E0	2.500000000E0
3.612678386E2	6.496569143E1	2.554906065E1	1.416242227E1	1.597999954E1	1.941999969E2	3.794102192E0	2.500000000E0
3.622678386E2	6.496555051E1	2.554897048E1	1.409974199E1	1.597999954E1	1.953999939E2	3.794759989E0	2.500000000E0
3.632678386E2	6.496541479E1	2.554887626E1	1.400465747E1	1.602000046E1	1.968000031E2	3.793980598E0	2.500000000E0
3.642678386E2	6.496527979E1	2.554877319E1	1.387570034E1	1.590999985E1	1.986000061E2	3.793826342E0	2.500000000E0
3.652678386E2	6.496514568E1	2.554866082E1	1.376145479E1	1.577999973E1	2.001999969E2	3.794032812E0	2.500000000E0
3.662678386E2	6.496501142E1	2.554853679E1	1.357830202E1	1.573999977E1	2.021999969E2	3.794991493E0	2.500000000E0
3.672678386E2	6.496488362E1	2.554840620E1	1.340895014E1	1.572999954E1	2.038999939E2	3.793779612E0	2.500000000E0
3.682678386E2	6.496475502E1	2.554826336E1	1.317612265E1	1.592000008E1	2.041999969E2	3.793888807E0	2.500000000E0
3.692678386E2	6.496462738E1	2.554810708E1	1.308258014E1	1.601000023E1	2.046000061E2	3.794988871E0	2.500000000E0
3.702678386E2	6.496450132E1	2.554793998E1	1.295742439E1	1.604999924E1	2.081999969E2	3.794319630E0	2.500000000E0
3.712678386E2	6.496437925E1	2.554776759E1	1.280639421E1	1.603000069E1	2.111999969E2	3.793077946E0	2.500000000E0
3.722678386E2	6.496425741E1	2.554758358E1	1.268100061E1	1.604999924E1	2.130000000E2	3.792921543E0	2.500000000E0
3.732678386E2	6.496413920E1	2.554739105E1	1.256263064E1	1.597999954E1	2.151999969E2	3.793265343E0	2.500000000E0
3.742678386E2	6.496402247E1	2.554719236E1	1.225871603E1	1.600000000E1	2.166999969E2	3.793193817E0	2.500000000E0
3.752678386E2	6.496391030E1	2.554698817E1	1.193991387E1	1.582999992E1	2.178999939E2	3.793361664E0	2.500000000E0
3.762678386E2	6.496380084E1	2.554677686E1	1.174654248E1	1.560999966E1	2.200000000E2	3.793281555E0	2.500000000E0
3.772678386E2	6.496369545E1	2.554656473E1	1.163844114E1	1.522999954E1	2.211999969E2	3.793381214E0	2.500000000E0
3.782678386E2	6.496359519E1	2.554635255E1	1.161829625E1	1.477000046E1	2.231000061E2	3.792897224E0	2.500000000E0
3.792678386E2	6.496350250E1	2.554614637E1	1.160816739E1	1.385000038E1	2.251000061E2	3.792784691E0	2.500000000E0
3.802678386E2	6.496341813E1	2.554595024E1	1.159889940E1	1.261999989E1	2.281000061E2	3.792740345E0	2.500000000E0
3.812678386E2	6.496334463E1	2.554577360E1	1.154349631E1	1.098999977E1	2.286000061E2	3.792802811E0	2.500000000E0
3.822678386E2	6.496328155E1	2.554561638E1	1.144458219E1	9.350000381E0	2.301999969E2	3.793721676E0	2.500000000E0
3.832678386E2	6.496323152E1	2.554549262E1	1.146640318E1	7.369999886E0	2.306000061E2	3.792636633E0	2.500000000E0
3.842678386E2	6.496319403E1	2.554539808E1	1.139344424E1	5.289999962E0	2.303999939E2	3.796132565E0	2.500000000E0
3.852678386E2	6.496316761E1	2.554533178E1	1.138073343E1	3.690000057E0	2.298999939E2	3.795925617E0	2.500000000E0
3.862678386E2	6.496314888E1	2.554528506E1	1.136241185E1	2.539999962E0	2.300000000E2	3.797287464E0	2.500000000E0
3.872678386E2	6.496313766E1	2.554525665E1	1.136167289E1	1.460000038E0	2.301000061E2	3.797313929E0	2.500000000E0
3.882678386E2	6.496313131E1	2.554524000E1	1.134183284E1	8.100000024E-1	2.300000000E2	3.795924902E0	2.500000000E0
3.892678386E2	6.496312816E1	2.554523199E1	1.136294917E1	3.600000143E-1	2.273000031E2	3.796063662E0	2.500000000E0
3.902678386E2	6.496312705E1	2.554522857E1	1.136941833E1	0.000000000E0	NaN	3.793819427E0	2.500000000E0
3.912678386E2	6.496312589E1	2.554522565E1	1.134341667E1	3.400000036E-1	2.280000000E2	3.796152592E0	2.500000000E0
3.922678386E2	6.496311667E1	2.554520288E1	1.132442928E1	2.269999981E0	2.276000061E2	3.791826248E0	2.500000000E0
3.932678386E2	6.496309353E1	2.554514476E1	1.131397871E1	4.900000095E0	2.276000061E2	3.792712927E0	2.500000000E0
3.942678386E2	6.496306118E1	2.554506234E1	1.131511958E1	5.429999828E0	2.286999969E2	3.793804407E0	2.500000000E0
3.952678386E2	6.496302038E1	2.554496006E1	1.129001019E1	7.199999809E0	2.283000031E2	3.792695522E0	2.500000000E0
3.962678386E2	6.496297104E1	2.554483519E1	1.124719576E1	8.729999542E0	2.278999939E2	3.792809486E0	2.500000000E0
3.972678386E2	6.496291294E1	2.554468763E1	1.123092660E1	1.011999989E1	2.278999939E2	3.792821407E0	2.500000000E0
3.982678386E2	6.496285214E1	2.554453185E1	1.119665068E1	1.014999962E1	2.278999939E2	3.792810678E0	2.500000000E0
3.992678386E2	6.496278917E1	2.554436915E1	1.115010564E1	1.072999954E1	2.286000061E2	3.792716980E0	2.500000000E0
4.002678386E2	6.496272352E1	2.554420088E1	1.110105644E1	1.076000023E1	2.278000031E2	3.792773247E0	2.500000000E0
4.012678386E2	6.496265909E1	2.554403717E1	1.106793792E1	1.036999989E1	2.283999939E2	3.792784691E0	2.500000000E0
4.022678386E2	6.496259645E1	2.554387900E1	1.096267676E1	1.010999966E1	2.280000000E2	3.792768955E0	2.500000000E0
4.032678386E2	6.496253489E1	2.554372566E1	1.089037493E1	9.770000458E0	2.271999969E2	3.792673111E0	2.500000000E0
4.042678386E2	6.496247511E1	2.554358073E1	1.078688464E1	9.430000305E0	2.268000031E2	3.792871237E0	2.500000000E0
4.052678386E2	6.496241572E1	2.554344459E1	1.073222163E1	9.039999962E0	2.245000000E2	3.792828798E0	2.500000000E0
4.062678386E2	6.496235895E1	2.554332049E1	1.068518879E1	8.130000114E0	2.235000000E2	3.792725801E0	2.500000000E0
4.072678386E2	6.496230944E1	2.554321268E1	1.066190315E1	7.079999924E0	2.228999939E2	3.792817593E0	2.500000000E0
4.082678386E2	6.496226421E1	2.554311406E1	1.063959680E1	6.739999771E0	2.151999969E2	3.792794228E0	2.500000000E0
