"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
4.327078332E1	6.499300202E1	2.555791386E1	1.320595697E1	8.880000114E0	8.000000000E1	3.790092468E0	2.500000000E0
4.427013983E1	6.499302850E1	2.555812232E1	1.335671187E1	1.025000000E1	7.569999695E1	3.790092468E0	2.500000000E0
4.527027175E1	6.499305711E1	2.555833397E1	1.369496837E1	1.053999996E1	7.359999847E1	3.790092468E0	2.500000000E0
4.627072754E1	6.499308517E1	2.555855007E1	1.362245718E1	1.052000046E1	7.259999847E1	3.790092468E0	2.500000000E0
4.726994055E1	6.499311161E1	2.555876506E1	1.370698807E1	1.051000023E1	7.159999847E1	3.790092468E0	2.500000000E0
4.827028373E1	6.499313839E1	2.555897734E1	1.393818712E1	1.039999962E1	7.080000305E1	3.790092468E0	2.500000000E0
4.927061107E1	6.499316592E1	2.555918159E1	1.377577218E1	1.009000015E1	6.900000000E1	3.790092468E0	2.500000000E0
5.027049420E1	6.499319167E1	2.555938641E1	1.354670511E1	9.979999542E0	6.850000000E1	3.790092468E0	2.500000000E0
5.127009196E1	6.499321847E1	2.555959206E1	1.297388893E1	9.930000305E0	6.850000000E1	3.790092468E0	2.500000000E0
5.226993493E1	6.499324397E1	2.555977840E1	1.242658669E1	9.340000153E0	6.509999847E1	3.790092468E0	2.500000000E0
5.327053962E1	6.499326406E1	2.555992606E1	1.212543914E1	7.400000095E0	6.780000305E1	3.790092468E0	2.500000000E0
5.427046404E1	6.499327816E1	2.556003684E1	1.155408806E1	5.650000095E0	6.750000000E1	3.790092468E0	2.500000000E0
5.526996868E1	6.499329209E1	2.556014087E1	1.149116054E1	5.300000191E0	7.130000305E1	3.790092468E0	2.500000000E0
5.627077977E1	6.499330796E1	2.556026245E1	1.086664811E1	5.920000076E0	7.190000153E1	3.790092468E0	2.500000000E0
5.727027737E1	6.499332354E1	2.556039761E1	1.059821278E1	6.619999886E0	7.230000305E1	3.790092468E0	2.500000000E0
5.827015461E1	6.499333972E1	2.556053275E1	1.020270282E1	6.630000114E0	7.069999695E1	3.790092468E0	2.500000000E0
5.927056409E1	6.499335477E1	2.556064525E1	9.936650266E0	5.500000000E0	7.050000000E1	3.790092468E0	2.500000000E0
6.027049310E1	6.499336420E1	2.556072253E1	9.762882115E0	3.960000038E0	7.400000000E1	3.790092468E0	2.500000000E0
6.126986242E1	6.499337131E1	2.556076238E1	9.804082405E0	2.200000048E0	7.200000000E1	3.790092468E0	2.500000000E0
6.226980768E1	6.499337401E1	2.556078365E1	9.510075864E0	1.279999971E0	7.119999695E1	3.790092468E0	2.500000000E0
6.327037935E1	6.499337801E1	2.556079818E1	9.776191034E0	8.700000048E-1	7.090000153E1	3.790092468E0	2.500000000E0
6.427018034E1	6.499337831E1	2.556080633E1	9.879339685E0	4.499999881E-1	6.940000153E1	3.790092468E0	2.500000000E0
6.527002201E1	6.499337790E1	2.556080775E1	9.697088142E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
6.626993857E1	6.499337638E1	2.556080825E1	9.673832258E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
6.727065971E1	6.499337545E1	2.556080792E1	9.682254280E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
6.826985008E1	6.499337445E1	2.556081130E1	9.606019999E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
6.926991763E1	6.499337378E1	2.556081177E1	9.644410423E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.027013956E1	6.499337367E1	2.556081155E1	9.645203805E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.127052112E1	6.499337380E1	2.556080996E1	9.766358916E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.227063935E1	6.499337383E1	2.556080817E1	9.855470502E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.326994440E1	6.499337363E1	2.556080834E1	9.885011308E0	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.427026601E1	6.499337341E1	2.556080804E1	1.001837296E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.527046148E1	6.499337335E1	2.556080822E1	1.014581428E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.627075945E1	6.499337346E1	2.556080781E1	1.024579003E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.727056513E1	6.499337353E1	2.556080749E1	1.027252353E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.826999200E1	6.499337343E1	2.556080739E1	1.029712062E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
7.927042247E1	6.499337363E1	2.556080680E1	1.039392264E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.027072070E1	6.499337320E1	2.556080610E1	1.039355611E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.127000877E1	6.499337324E1	2.556080464E1	1.045959638E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
8.227028882E1	6.499337335E1	2.556080420E1	1.052960386E1	0.000000000E0	NaN	3.790092468E0	2.500000000E0
